Date,Item_Sales,Avg_Price
2022-01-01,0,
2022-01-02,232,5.049137931034483
2022-01-03,135,4.916888888888889
2022-01-04,38,4.542894736842105
2022-01-05,77,4.731298701298702
2022-01-06,177,4.938983050847458
2022-01-07,144,5.054027777777778
2022-01-08,186,5.264731182795699
2022-01-09,185,5.0048108108108105
2022-01-10,130,5.0686923076923085
2022-01-11,126,4.974047619047619
2022-01-12,164,4.900060975609756
2022-01-13,179,4.975921787709497
2022-01-14,222,4.903648648648648
2022-01-15,180,4.979
2022-01-16,202,5.229306930693069
2022-01-17,181,5.152872928176795
2022-01-18,126,5.025793650793651
2022-01-19,163,5.1207975460122706
2022-01-20,96,4.7696875
2022-01-21,111,4.999459459459459
2022-01-22,186,4.963655913978495
2022-01-23,200,4.9804
2022-01-24,131,4.8432061068702295
2022-01-25,134,5.242313432835821
2022-01-26,134,4.880223880597015
2022-01-27,134,5.050298507462687
2022-01-28,172,5.054651162790697
2022-01-29,0,
2022-01-30,121,5.185867768595042
2022-01-31,99,4.587272727272727
2022-02-01,137,5.0739416058394164
2022-02-02,139,4.796258992805755
2022-02-03,165,4.95969696969697
2022-02-04,132,5.231969696969697
2022-02-05,176,5.1357954545454545
2022-02-06,191,4.906910994764398
2022-02-07,121,4.9614049586776865
2022-02-08,152,4.985131578947368
2022-02-09,137,4.8794890510948905
2022-02-10,181,5.0054696132596685
2022-02-11,235,4.903659574468085
2022-02-12,339,5.0269616519174045
2022-02-13,205,5.145512195121951
2022-02-14,200,5.0832
2022-02-15,202,5.275297029702971
2022-02-16,223,4.772600896860986
2022-02-17,207,5.201449275362319
2022-02-18,268,5.0555223880597016
2022-02-19,319,5.199686520376176
2022-02-20,374,4.961229946524064
2022-02-21,281,5.026192170818506
2022-02-22,230,4.879608695652173
2022-02-23,347,4.958818443804034
2022-02-24,300,4.943433333333333
2022-02-25,99,4.9498989898989905
2022-02-26,363,5.1057851239669425
2022-02-27,332,5.184156626506025
2022-02-28,210,5.21752380952381
2022-03-01,299,4.992374581939799
2022-03-02,192,5.004270833333334
2022-03-03,291,4.9402061855670105
2022-03-04,344,5.12343023255814
2022-03-05,361,5.186260387811634
2022-03-06,376,5.044707446808511
2022-03-07,245,5.241387755102041
2022-03-08,283,4.896925795053003
2022-03-09,233,5.199699570815451
2022-03-10,296,5.182331081081081
2022-03-11,331,5.060453172205438
2022-03-12,309,5.222362459546925
2022-03-13,404,5.123811881188119
2022-03-14,253,5.365415019762846
2022-03-15,310,5.188580645161291
2022-03-16,329,5.177659574468085
2022-03-17,285,5.382631578947368
2022-03-18,417,5.200383693045564
2022-03-19,340,5.323882352941177
2022-03-20,444,5.5197972972972975
2022-03-21,284,5.403838028169014
2022-03-22,297,5.41104377104377
2022-03-23,255,5.49564705882353
2022-03-24,299,5.504080267558528
2022-03-25,354,5.381299435028248
2022-03-26,412,5.452038834951457
2022-03-27,418,5.547081339712919
2022-03-28,241,5.631701244813278
2022-03-29,258,5.347325581395349
2022-03-30,355,5.510225352112676
2022-03-31,376,5.343670212765957
2022-04-01,481,5.61983367983368
2022-04-02,472,5.449025423728814
2022-04-03,495,5.467434343434344
2022-04-04,294,5.287244897959184
2022-04-05,361,5.403518005540167
2022-04-06,288,5.430729166666667
2022-04-07,294,5.483435374149661
2022-04-08,428,5.369415887850468
2022-04-09,446,5.533452914798207
2022-04-10,448,5.510625
2022-04-11,256,5.3501953125
2022-04-12,375,5.552666666666667
2022-04-13,288,5.319444444444445
2022-04-14,338,5.464792899408285
2022-04-15,430,5.496
2022-04-16,342,5.474649122807017
2022-04-17,0,
2022-04-18,307,5.597882736156351
2022-04-19,258,5.323062015503877
2022-04-20,371,5.631644204851752
2022-04-21,423,5.496666666666667
2022-04-22,485,5.448515463917526
2022-04-23,519,5.582466281310213
2022-04-24,495,5.612666666666667
2022-04-25,345,5.405246376811594
2022-04-26,362,5.516546961325967
2022-04-27,337,5.440830860534125
2022-04-28,390,5.513333333333333
2022-04-29,503,5.586580516898609
2022-04-30,519,5.441888246628131
2022-05-01,635,5.506251968503937
2022-05-02,392,5.575255102040816
2022-05-03,395,5.382455696202532
2022-05-04,285,5.558175438596491
2022-05-05,381,5.45244094488189
2022-05-06,457,5.6177899343544855
2022-05-07,463,5.598682505399569
2022-05-08,549,5.383078324225865
2022-05-09,375,5.572586666666666
2022-05-10,351,5.557920227920228
2022-05-11,378,5.600396825396825
2022-05-12,462,5.471753246753246
2022-05-13,598,5.456538461538462
2022-05-14,581,5.465886402753872
2022-05-15,637,5.55585557299843
2022-05-16,370,5.4985135135135135
2022-05-17,296,5.439695945945946
2022-05-18,372,5.438198924731183
2022-05-19,390,5.465487179487179
2022-05-20,493,5.5476267748478705
2022-05-21,543,5.598563535911603
2022-05-22,710,5.535915492957747
2022-05-23,349,5.497564469914041
2022-05-24,344,5.434244186046512
2022-05-25,373,5.379517426273458
2022-05-26,389,5.4064781491002565
2022-05-27,465,5.61483870967742
2022-05-28,439,5.773257403189066
2022-05-29,514,5.380836575875486
2022-05-30,622,5.519903536977492
2022-05-31,376,5.525026595744681
2022-06-01,327,5.406697247706422
2022-06-02,324,5.67753086419753
2022-06-03,372,5.556666666666667
2022-06-04,492,5.6381707317073175
2022-06-05,514,5.5552529182879375
2022-06-06,123,5.475772357723577
2022-06-07,257,5.230233463035019
2022-06-08,382,5.520994764397906
2022-06-09,353,5.667818696883852
2022-06-10,390,5.414307692307692
2022-06-11,462,5.609307359307359
2022-06-12,489,5.4891820040899795
2022-06-13,403,5.486997518610423
2022-06-14,345,5.556927536231885
2022-06-15,390,5.449897435897436
2022-06-16,316,5.499208860759493
2022-06-17,454,5.555088105726873
2022-06-18,395,5.522430379746836
2022-06-19,463,5.55732181425486
2022-06-20,322,5.409440993788819
2022-06-21,314,5.496337579617834
2022-06-22,338,5.427958579881657
2022-06-23,286,5.236748251748252
2022-06-24,435,5.488413793103448
2022-06-25,458,5.492161572052401
2022-06-26,571,5.608949211908932
2022-06-27,320,5.62603125
2022-06-28,395,5.53306329113924
2022-06-29,402,5.446716417910448
2022-06-30,416,5.557427884615384
2022-07-01,399,5.5701754385964914
2022-07-02,415,5.622409638554218
2022-07-03,396,5.562146464646465
2022-07-04,535,5.5698504672897196
2022-07-05,268,5.539216417910448
2022-07-06,326,5.442914110429448
2022-07-07,339,5.517905604719764
2022-07-08,458,5.505851528384279
2022-07-09,408,5.644289215686274
2022-07-10,410,5.566829268292683
2022-07-11,310,5.523548387096774
2022-07-12,316,5.5137341772151895
2022-07-13,337,5.533353115727003
2022-07-14,330,5.564030303030304
2022-07-15,363,5.433691460055097
2022-07-16,327,5.573333333333333
2022-07-17,553,5.621717902350814
2022-07-18,258,5.5183333333333335
2022-07-19,312,5.340673076923077
2022-07-20,406,5.4178817733990146
2022-07-21,399,5.617593984962406
2022-07-22,420,5.474095238095238
2022-07-23,449,5.374966592427617
2022-07-24,510,5.56678431372549
2022-07-25,376,5.549255319148936
2022-07-26,304,5.520855263157895
2022-07-27,349,5.475759312320917
2022-07-28,432,5.431805555555555
2022-07-29,384,5.479817708333333
2022-07-30,319,5.666363636363636
2022-07-31,425,5.525623529411765
2022-08-01,323,5.363065015479876
2022-08-02,265,5.411509433962264
2022-08-03,343,5.446967930029154
2022-08-04,451,5.495277161862528
2022-08-05,346,5.6028612716763
2022-08-06,476,5.557163865546219
2022-08-07,354,5.43045197740113
2022-08-08,318,5.393490566037737
2022-08-09,351,5.316951566951567
2022-08-10,279,5.346702508960574
2022-08-11,270,5.406444444444444
2022-08-12,352,5.25315340909091
2022-08-13,352,5.4598011363636365
2022-08-14,446,5.4252466367713
2022-08-15,299,5.432307692307692
2022-08-16,291,5.49192439862543
2022-08-17,249,5.452690763052209
2022-08-18,253,5.576877470355732
2022-08-19,354,5.409830508474576
2022-08-20,416,5.436538461538461
2022-08-21,455,5.569076923076922
2022-08-22,277,5.449819494584837
2022-08-23,280,5.527214285714286
2022-08-24,353,5.442861189801699
2022-08-25,366,5.5848633879781415
2022-08-26,330,5.523848484848485
2022-08-27,368,5.53758152173913
2022-08-28,420,5.514357142857143
2022-08-29,279,5.55584229390681
2022-08-30,347,5.340576368876081
2022-08-31,324,5.439166666666667
2022-09-01,324,5.552777777777778
2022-09-02,379,5.609472295514513
2022-09-03,397,5.597153652392947
2022-09-04,457,5.760065645514223
2022-09-05,208,5.415288461538462
2022-09-06,197,5.515989847715736
2022-09-07,251,5.613266932270917
2022-09-08,158,5.369430379746835
2022-09-09,311,5.5023151125401935
2022-09-10,334,5.655868263473054
2022-09-11,358,5.6988547486033525
2022-09-12,256,5.582734375
2022-09-13,215,5.413348837209303
2022-09-14,263,5.63787072243346
2022-09-15,264,5.497007575757576
2022-09-16,253,5.4525296442687745
2022-09-17,428,5.594205607476636
2022-09-18,365,5.632493150684932
2022-09-19,235,5.60331914893617
2022-09-20,237,5.60253164556962
2022-09-21,284,5.589683098591549
2022-09-22,276,5.661159420289855
2022-09-23,292,5.706301369863014
2022-09-24,329,5.721945288753799
2022-09-25,377,5.642201591511936
2022-09-26,214,5.588738317757009
2022-09-27,248,5.658185483870968
2022-09-28,245,5.58461224489796
2022-09-29,223,5.493094170403587
2022-09-30,279,5.7575985663082445
2022-10-01,354,5.6986158192090395
2022-10-02,278,5.938920863309352
2022-10-03,201,5.452537313432836
2022-10-04,200,5.63535
2022-10-05,213,5.793004694835681
2022-10-06,267,5.365505617977528
2022-10-07,332,5.6150301204819275
2022-10-08,304,5.637598684210526
2022-10-09,357,5.837198879551821
2022-10-10,226,5.695929203539823
2022-10-11,202,5.740940594059406
2022-10-12,302,5.430099337748345
2022-10-13,258,5.865736434108528
2022-10-14,284,5.766197183098592
2022-10-15,348,5.722931034482759
2022-10-16,339,5.694837758112095
2022-10-17,175,5.710457142857143
2022-10-18,175,5.5842857142857145
2022-10-19,223,5.756995515695067
2022-10-20,234,5.750854700854701
2022-10-21,249,5.592690763052208
2022-10-22,272,5.5932352941176475
2022-10-23,304,5.707269736842105
2022-10-24,206,5.749174757281553
2022-10-25,217,5.696820276497696
2022-10-26,246,5.77260162601626
2022-10-27,230,5.65808695652174
2022-10-28,251,5.590358565737052
2022-10-29,272,5.534080882352941
2022-10-30,352,5.846363636363637
2022-10-31,170,5.621764705882353
2022-11-01,169,5.614970414201184
2022-11-02,181,5.493701657458564
2022-11-03,223,5.49067264573991
2022-11-04,303,5.763762376237624
2022-11-05,342,5.672748538011696
2022-11-06,304,5.634572368421053
2022-11-07,167,5.689221556886228
2022-11-08,192,5.551041666666666
2022-11-09,197,5.783096446700507
2022-11-10,287,5.588188153310105
2022-11-11,304,6.029703947368421
2022-11-12,340,5.602529411764706
2022-11-13,281,5.9143772241992885
2022-11-14,187,5.741283422459894
2022-11-15,148,5.61081081081081
2022-11-16,154,5.614025974025974
2022-11-17,205,5.824000000000001
2022-11-18,232,5.504137931034483
2022-11-19,260,5.72973076923077
2022-11-20,304,5.672072368421053
2022-11-21,189,5.572328042328043
2022-11-22,222,5.688288288288288
2022-11-23,170,5.667588235294118
2022-11-24,0,
2022-11-25,229,5.584410480349344
2022-11-26,194,5.633711340206186
2022-11-27,236,5.762627118644068
2022-11-28,172,5.668837209302326
2022-11-29,146,5.802260273972602
2022-11-30,213,5.633286384976526
2022-12-01,220,5.868545454545454
2022-12-02,254,5.637204724409449
2022-12-03,323,5.765263157894737
2022-12-04,316,5.773481012658228
2022-12-05,189,5.815820105820106
2022-12-06,184,5.572336956521739
2022-12-07,234,5.7208547008547015
2022-12-08,206,5.7513592233009705
2022-12-09,253,5.611185770750988
2022-12-10,270,5.55674074074074
2022-12-11,175,5.638742857142857
2022-12-12,109,5.728623853211009
2022-12-13,0,
2022-12-14,194,5.638092783505154
2022-12-15,193,5.848652849740932
2022-12-16,271,5.535424354243543
2022-12-17,228,5.545
2022-12-18,254,5.875669291338583
2022-12-19,197,5.525736040609137
2022-12-20,204,5.643382352941177
2022-12-21,163,5.69159509202454
2022-12-22,220,5.702636363636364
2022-12-23,183,5.457213114754099
2022-12-24,22,4.555000000000001
2022-12-25,0,
2022-12-26,177,5.787853107344633
2022-12-27,202,5.766188118811881
2022-12-28,236,5.747627118644068
2022-12-29,263,5.722585551330798
2022-12-30,285,5.805824561403509
2022-12-31,182,5.567032967032968
2023-01-01,0,
2023-01-02,60,5.541833333333333
2023-01-03,201,5.863582089552239
2023-01-04,193,5.760569948186529
2023-01-05,199,5.96643216080402
2023-01-06,263,5.9030038022813685
2023-01-07,272,5.955698529411765
2023-01-08,291,6.076151202749141
2023-01-09,215,5.847813953488372
2023-01-10,206,5.6756796116504855
2023-01-11,206,5.842087378640777
2023-01-12,174,6.034022988505748
2023-01-13,310,5.849935483870968
2023-01-14,269,5.954460966542751
2023-01-15,330,5.899363636363637
2023-01-16,183,5.535956284153006
2023-01-17,190,5.928315789473685
2023-01-18,179,5.989832402234637
2023-01-19,227,5.924977973568282
2023-01-20,265,6.007735849056604
2023-01-21,329,5.796747720364742
2023-01-22,276,5.936014492753623
2023-01-23,115,6.357826086956521
2023-01-24,155,6.032
2023-01-25,224,5.964910714285715
2023-01-26,193,6.15341968911917
2023-01-27,246,5.619146341463415
2023-01-28,257,5.9624513618677035
2023-01-29,311,6.083183279742766
2023-01-30,231,5.75995670995671
2023-01-31,210,5.821380952380952
2023-02-01,189,6.03079365079365
2023-02-02,194,5.842886597938144
2023-02-03,184,6.1048913043478255
2023-02-04,248,6.036612903225806
2023-02-05,314,5.983089171974522
2023-02-06,155,5.975612903225807
2023-02-07,203,5.715024630541873
2023-02-08,238,5.794663865546219
2023-02-09,206,5.747281553398058
2023-02-10,260,5.889961538461539
2023-02-11,337,5.807032640949555
2023-02-12,243,5.892880658436214
2023-02-13,163,5.524294478527608
2023-02-14,237,5.769113924050632
2023-02-15,166,5.6726506024096395
2023-02-16,179,5.829776536312849
2023-02-17,281,6.02185053380783
2023-02-18,309,5.926278317152104
2023-02-19,387,5.953100775193798
2023-02-20,294,5.860714285714286
2023-02-21,207,5.6577777777777785
2023-02-22,205,5.622731707317073
2023-02-23,165,5.777515151515152
2023-02-24,257,5.782256809338521
2023-02-25,231,5.964285714285714
2023-02-26,292,6.031267123287671
2023-02-27,211,5.7617061611374405
2023-02-28,138,6.099927536231884
2023-03-01,204,5.888333333333334
2023-03-02,210,5.935714285714286
2023-03-03,261,5.705517241379311
